competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
BPL,1063047,2016-11-30,2016/17,Rajshahi Kings,Comilla Victorians,0,0,0,-1,124,120,125,112,7,2,51,46,12,45,36,46,30,7,6.200000000000001,1.0333333333333334,0.425,0.4107142857142857,2,7.5,9.200000000000001,1.1160714285714286,0.1,9.200000000000001,7.5,7,15,64.375
BPL,1063047,2016-11-30,2016/17,Comilla Victorians,Rajshahi Kings,1,1,0,1,125,112,124,120,2,7,46,51,13,36,36,19,22,7,6.696428571428571,1.1160714285714286,0.4107142857142857,0.425,7,6.0,5.181818181818182,1.0333333333333334,0.11607142857142858,5.181818181818182,6.0,7,11,26.875
BPL,1063048,2016-11-10,2016/17,Khulna Titans,Rangpur Riders,0,0,0,-1,44,64,45,48,10,1,42,28,6,30,36,0,0,2,4.125,0.6875,0.65625,0.5833333333333334,1,5.0,,0.9375,0.09375,,5.0,2,13,71.875
BPL,1063048,2016-11-10,2016/17,Rangpur Riders,Khulna Titans,1,1,0,1,45,48,44,64,1,10,28,42,6,33,36,0,0,2,5.625,0.9375,0.5833333333333334,0.65625,10,5.5,,0.6875,0.125,,5.5,2,12,24.375
BPL,1063049,2016-11-14,2016/17,Chittagong Vikings,Barisal Bulls,0,0,0,-4,163,120,167,118,3,3,41,42,20,46,36,41,30,2,8.15,1.3583333333333334,0.3416666666666667,0.3559322033898305,3,7.666666666666666,8.2,1.4152542372881356,0.16666666666666666,8.2,7.666666666666666,2,13,45.625
BPL,1063049,2016-11-14,2016/17,Barisal Bulls,Chittagong Vikings,1,1,0,4,167,118,163,120,3,3,42,41,21,26,36,47,28,2,8.491525423728813,1.4152542372881356,0.3559322033898305,0.3416666666666667,3,4.333333333333333,10.071428571428571,1.3583333333333334,0.17796610169491525,10.071428571428571,4.333333333333333,2,12,13.125
BPL,1063050,2016-11-14,2016/17,Dhaka Dynamites,Comilla Victorians,1,0,0,33,194,120,161,120,5,9,34,51,21,60,36,56,30,10,9.7,1.6166666666666667,0.2833333333333333,0.425,9,10.0,11.2,1.3416666666666666,0.175,11.2,10.0,10,14,96.875
BPL,1063050,2016-11-14,2016/17,Comilla Victorians,Dhaka Dynamites,0,1,0,-33,161,120,194,120,9,5,51,34,21,47,36,57,30,10,8.049999999999999,1.3416666666666666,0.425,0.2833333333333333,5,7.833333333333334,11.399999999999999,1.6166666666666667,0.175,11.399999999999999,7.833333333333334,10,11,26.875
BPL,1063051,2016-11-28,2016/17,Rajshahi Kings,Rangpur Riders,1,0,0,49,128,120,79,106,7,10,51,54,12,29,36,54,30,10,6.4,1.0666666666666667,0.425,0.5094339622641509,10,4.833333333333334,10.8,0.7452830188679245,0.1,10.8,4.833333333333334,10,15,64.375
BPL,1063051,2016-11-28,2016/17,Rangpur Riders,Rajshahi Kings,0,1,0,-49,79,106,128,120,10,7,54,51,6,29,36,14,16,10,4.471698113207546,0.7452830188679245,0.5094339622641509,0.425,7,4.833333333333334,5.25,1.0666666666666667,0.05660377358490566,5.25,4.833333333333334,10,12,24.375
BPL,1063052,2016-11-20,2016/17,Khulna Titans,Barisal Bulls,1,0,0,22,151,120,129,117,7,10,43,44,17,26,36,39,30,14,7.55,1.2583333333333333,0.35833333333333334,0.37606837606837606,10,4.333333333333333,7.800000000000001,1.1025641025641026,0.14166666666666666,7.800000000000001,4.333333333333333,14,13,71.875
BPL,1063052,2016-11-20,2016/17,Barisal Bulls,Khulna Titans,0,1,0,-22,129,117,151,120,10,7,44,43,13,31,36,37,27,14,6.615384615384616,1.1025641025641026,0.37606837606837606,0.35833333333333334,7,5.166666666666667,8.222222222222223,1.2583333333333333,0.1111111111111111,8.222222222222223,5.166666666666667,14,12,13.125
BPL,1063053,2016-11-08,2016/17,Barisal Bulls,Dhaka Dynamites,0,0,0,-1,148,120,149,96,6,2,49,33,19,32,36,30,30,5,7.4,1.2333333333333334,0.4083333333333333,0.34375,2,5.333333333333333,6.0,1.5520833333333333,0.15833333333333333,6.0,5.333333333333333,5,12,13.125
BPL,1063053,2016-11-08,2016/17,Dhaka Dynamites,Barisal Bulls,1,1,0,1,149,96,148,120,2,6,33,49,19,73,36,12,6,5,9.3125,1.5520833333333333,0.34375,0.4083333333333333,6,12.166666666666666,12.0,1.2333333333333334,0.19791666666666666,12.0,12.166666666666666,5,14,96.875
BPL,1063054,2016-11-08,2016/17,Chittagong Vikings,Comilla Victorians,1,0,0,29,161,120,132,120,3,8,34,58,18,36,36,45,30,7,8.049999999999999,1.3416666666666666,0.2833333333333333,0.48333333333333334,8,6.0,9.0,1.1,0.15,9.0,6.0,7,13,45.625
BPL,1063054,2016-11-08,2016/17,Comilla Victorians,Chittagong Vikings,0,1,0,-29,132,120,161,120,8,3,58,34,15,36,36,34,30,7,6.6000000000000005,1.1,0.48333333333333334,0.2833333333333333,3,6.0,6.8,1.3416666666666666,0.125,6.8,6.0,7,11,26.875
BPL,1063055,2016-11-09,2016/17,Khulna Titans,Rajshahi Kings,1,0,1,3,133,120,130,120,8,10,53,48,17,33,36,38,30,12,6.65,1.1083333333333334,0.44166666666666665,0.4,10,5.5,7.6,1.0833333333333333,0.14166666666666666,7.6,5.5,12,13,71.875
BPL,1063055,2016-11-09,2016/17,Rajshahi Kings,Khulna Titans,0,1,1,-3,130,120,133,120,10,8,48,53,12,37,36,34,30,12,6.5,1.0833333333333333,0.4,0.44166666666666665,8,6.166666666666666,6.8,1.1083333333333334,0.1,6.8,6.166666666666666,12,15,64.375
BPL,1063056,2016-11-09,2016/17,Chittagong Vikings,Rangpur Riders,0,0,0,-1,124,118,125,90,10,1,53,42,12,56,36,29,28,10,6.305084745762713,1.0508474576271187,0.4491525423728814,0.4666666666666667,1,9.333333333333334,6.214285714285715,1.3888888888888888,0.1016949152542373,6.214285714285715,9.333333333333334,10,13,45.625
BPL,1063056,2016-11-09,2016/17,Rangpur Riders,Chittagong Vikings,1,1,0,1,125,90,124,118,1,10,42,53,18,43,36,0,0,10,8.333333333333332,1.3888888888888888,0.4666666666666667,0.4491525423728814,10,7.166666666666666,,1.0508474576271187,0.2,,7.166666666666666,10,12,24.375
BPL,1063057,2016-11-11,2016/17,Comilla Victorians,Barisal Bulls,0,0,0,-1,129,120,130,111,8,4,47,43,12,40,36,43,30,9,6.449999999999999,1.075,0.39166666666666666,0.38738738738738737,4,6.666666666666667,8.6,1.1711711711711712,0.1,8.6,6.666666666666667,9,11,26.875
BPL,1063057,2016-11-11,2016/17,Barisal Bulls,Comilla Victorians,1,1,0,1,130,111,129,120,4,8,43,47,14,30,36,39,21,9,7.027027027027027,1.1711711711711712,0.38738738738738737,0.39166666666666666,8,5.0,11.142857142857142,1.075,0.12612612612612611,11.142857142857142,5.0,9,12,13.125
BPL,1063058,2016-11-11,2016/17,Dhaka Dynamites,Rajshahi Kings,0,0,0,-1,138,120,139,109,5,4,48,47,16,43,36,43,30,7,6.8999999999999995,1.15,0.4,0.43119266055045874,4,7.166666666666666,8.6,1.275229357798165,0.13333333333333333,8.6,7.166666666666666,7,14,96.875
BPL,1063058,2016-11-11,2016/17,Rajshahi Kings,Dhaka Dynamites,1,1,0,1,139,109,138,120,4,5,47,48,18,41,36,32,19,7,7.651376146788991,1.275229357798165,0.43119266055045874,0.4,5,6.833333333333333,10.105263157894736,1.15,0.1651376146788991,10.105263157894736,6.833333333333333,7,15,64.375
BPL,1063059,2016-11-12,2016/17,Khulna Titans,Chittagong Vikings,1,0,1,4,127,120,123,120,7,9,41,48,10,42,36,43,30,12,6.35,1.0583333333333333,0.3416666666666667,0.4,9,7.0,8.6,1.025,0.08333333333333333,8.6,7.0,12,13,71.875
BPL,1063059,2016-11-12,2016/17,Chittagong Vikings,Khulna Titans,0,1,1,-4,123,120,127,120,9,7,48,41,9,22,36,45,30,12,6.1499999999999995,1.025,0.4,0.3416666666666667,7,3.666666666666667,9.0,1.0583333333333333,0.075,9.0,3.666666666666667,12,13,45.625
BPL,1063060,2016-11-12,2016/17,Dhaka Dynamites,Rangpur Riders,1,0,0,78,170,120,92,116,6,9,48,56,25,54,36,64,30,10,8.5,1.4166666666666667,0.4,0.4827586206896552,9,9.0,12.8,0.7931034482758621,0.20833333333333334,12.8,9.0,10,14,96.875
BPL,1063060,2016-11-12,2016/17,Rangpur Riders,Dhaka Dynamites,0,1,0,-78,92,116,170,120,9,6,56,48,6,27,36,18,26,10,4.758620689655173,0.7931034482758621,0.4827586206896552,0.4,6,4.5,4.153846153846153,1.4166666666666667,0.05172413793103448,4.153846153846153,4.5,10,12,24.375
